True,Number play,2,2w,3,3w,4,4w,5,5w,6,6w
0,1779,16328,10,2201,24,113,641,3,30208,0,20532000
1,1778,17268,10,2342,23,138,527,6,15170,0,20482000
3,1776,17233,10,2153,25,120,605,1,90831,0,20382000
4,1775,14781,10,1786,27,89,729,1,81188,0,20332000
6,1773,17964,10,2359,22,117,601,2,43987,0,20232000
9,1770,15671,10,1566,43,58,1562,1,113311,0,20082000
10,1769,18130,10,2470,22,128,587,3,31307,0,20032000
11,1768,16455,10,1761,33,67,1188,2,49789,0,19982000
12,1767,16720,10,1832,33,95,862,2,51199,0,19932000
13,1766,16567,10,1908,30,128,610,6,16271,0,19882000
14,1765,14992,10,1650,34,69,1090,4,23510,0,19832000
15,1764,16563,10,2308,22,143,477,2,42672,0,19782000
17,1762,16840,10,2218,23,125,547,3,28499,0,19682000
18,1761,13765,10,1591,34,58,1249,1,90553,0,19632000
19,1760,16195,10,1998,26,97,729,1,88424,0,19559000
20,1759,16683,10,2604,19,162,426,4,21583,0,19484000
21,1758,16730,10,2251,22,193,354,1,85431,0,19412000
22,1757,14269,10,1962,26,105,658,1,86482,0,19342000
23,1756,14924,10,1994,24,78,841,2,41026,0,19275000
24,1755,16412,10,2303,21,110,603,1,82928,0,19200000
25,1754,16569,10,1972,26,107,646,3,28829,0,19100000
27,1752,18014,10,2453,21,107,656,2,43917,0,18900000
28,1751,12776,10,1441,34,68,987,1,83908,0,18800000
29,1750,15927,10,2161,23,108,635,3,28580,0,18700000
31,1748,16835,10,2215,23,107,646,1,86485,0,18500000
32,1747,14770,10,1841,23,104,563,2,36622,0,18400000
37,1742,14616,10,1906,26,120,559,2,41982,0,17900000
38,1741,14038,10,1710,28,81,803,1,81316,0,17800000
39,1740,15511,10,2052,23,91,691,2,39345,0,17700000
41,1738,14795,10,1919,24,82,761,1,78071,0,17500000
42,1737,14074,10,1683,27,81,754,2,38212,0,17400000
44,1735,15598,10,2286,20,161,382,2,38522,0,17200000
48,1731,13836,10,1596,29,42,1500,1,78773,0,16800000
49,1730,16530,10,2088,21,103,578,3,24848,0,16700000
